iter	RMSE
0	1060.933033
1	1023.208111
2	986.6490076
3	952.5399068
4	921.0526803
5	890.948926
6	862.775268
7	837.4362566
8	815.6328015
9	792.4844939
10	770.8511503
11	750.7124921
12	732.0236111
13	714.6284894
14	697.1375399
15	681.858885
16	667.4119477
17	654.2067185
18	641.7414517
19	629.5486331
20	618.7863578
21	608.3037098
22	599.2653194
23	590.7510387
24	582.4454863
25	574.1201693
26	566.0495619
27	559.9931818
28	554.5885522
29	547.9950127
30	542.367638
31	536.9708877
32	531.8531059
33	527.1886484
34	523.9013751
35	519.2429196
36	516.4895891
37	512.9480257
38	509.1905919
39	504.3269868
40	499.3609495
41	496.1871922
42	491.7880975
43	489.2653158
44	486.9393741
45	484.8027052
46	482.835482
47	479.5842691
48	477.8947253
49	475.5231243
50	472.1604338
51	469.0446664
52	467.6483246
53	465.7187099
54	463.3347691
55	461.0961746
56	458.2179074
57	455.3119208
58	453.1041203
59	451.0299538
60	449.1419772
61	447.5673043
62	445.2839848
63	443.4190137
64	442.6410666
65	440.5574182
66	439.9166569
67	438.8822283
68	438.2017291
69	437.3022907
70	436.0069204
71	435.7298698
72	435.4684186
73	435.2474185
74	433.5013683
75	433.0194023
76	432.835834
77	430.9308662
78	429.869696
79	428.6647406
80	428.0802077
81	427.4539059
82	426.9151115
83	426.6366392
84	426.1036924
85	425.9473797
86	425.3925907
87	423.3278906
88	423.2154267
89	422.978318
90	422.7584538
91	421.2298377
92	421.0268907
93	420.6954216
94	420.4806165
95	419.5588037
96	419.0772167
97	418.8698336
98	418.5295933
99	417.6436129
100	417.4641737
101	416.199216
102	415.8430966
103	415.6871215
104	415.1590348
105	414.0881621
106	413.9563764
107	413.7273128
108	413.5825736
109	413.0548752
110	412.4652675
111	412.0024282
112	411.8452175
113	410.7135482
114	410.5609479
115	410.3236803
116	410.2210204
117	410.0296483
118	409.1830671
119	408.5974719
120	408.0932232
121	407.8897539
122	407.4066916
123	407.0724952
124	406.0975329
125	405.9017144
126	405.0208512
127	404.2163821
128	403.8258274
129	403.3027096
130	403.2518876
131	402.5319979
132	402.0643142
133	402.0057146
134	401.5836503
135	401.2370811
136	400.6325685
137	400.2925572
138	400.193385
139	399.7215526
140	399.6438702
141	399.258321
142	399.1826548
143	398.9449413
144	398.3937659
145	397.8729832
146	397.1293125
147	397.0611674
148	396.5803524
149	396.0102565
150	395.6684238
151	395.5888214
152	395.5165792
153	395.3921107
154	395.0941941
155	394.9728666
156	394.7855589
157	394.6503646
158	394.4704353
159	394.2416266
160	394.1145642
161	393.9213123
162	392.2915345
163	391.8047155
164	391.5542317
165	391.2801328
166	389.6908016
167	389.1103568
168	388.7198346
169	388.4551571
170	388.0658704
171	388.0325347
172	387.5459457
173	386.9158426
174	386.5193498
175	385.5755992
176	385.2147906
177	384.9943577
178	384.5966036
179	384.4425489
180	384.2584568
181	383.8480365
182	383.0404632
183	382.962543
184	382.7786537
185	382.4387009
186	382.3418859
187	381.8132545
188	381.6224558
189	381.5533045
190	381.2498686
191	381.1022162
192	380.6731766
193	379.8449392
194	379.5826728
195	379.4682805
196	379.2272114
197	379.1821339
198	379.0600797
199	378.9210778
200	378.7904844
201	378.713991
202	378.3985719
203	378.2933271
204	377.7410116
205	377.5812039
206	377.4600027
207	377.0272319
208	376.926347
209	376.7780726
210	376.4520856
211	376.2467782
212	376.1616836
213	376.083305
214	376.0022742
215	375.7427575
216	375.2010938
217	374.9737439
218	374.7674721
219	374.5885311
220	374.5234918
221	374.4805563
222	374.4317664
223	374.365228
224	374.3324242
225	373.3001601
226	373.1998053
227	373.0311463
228	372.8787156
229	372.6747436
230	372.6141403
231	372.3514365
232	372.0935451
233	371.3308577
234	371.2081295
235	371.1279361
236	371.0258417
237	370.9863094
238	370.8925012
239	370.8127676
240	370.7826297
241	370.2441635
242	370.1483724
243	369.7390769
244	369.6463103
245	369.2738975
246	369.2332857
247	369.0344061
248	368.0979198
249	368.0680011
250	367.9841355
251	367.7801277
252	367.5843818
253	366.7475935
254	366.7017464
255	366.5740902
256	366.422813
257	366.3704541
258	366.2697091
259	366.1349366
260	365.4951061
261	365.2406031
262	364.8821943
263	364.5338931
264	364.4565062
265	364.3611585
266	363.7210554
267	363.4627557
268	363.3822815
269	363.1826289
270	362.7774178
271	362.5531681
272	362.3113714
273	361.8311226
274	361.6470713
275	361.3221509
276	360.948556
277	360.8466011
278	360.3019072
279	360.2125034
280	360.1464926
281	359.5432191
282	359.4397136
283	358.6707776
284	358.1756648
285	357.9792082
