iter	Passed	Remaining
0	309	308883
1	455	227375
2	585	194680
3	719	179255
4	845	168173
5	953	157996
6	1037	147195
7	1167	144755
8	1313	144685
9	1441	142705
10	1592	143190
11	1727	142241
12	1875	142402
13	1973	139023
14	2152	141317
15	2284	140521
16	2399	138742
17	2493	136060
18	2615	135064
19	2720	133299
20	2856	133159
21	2958	131515
22	3093	131392
23	3251	132228
24	3382	131934
25	3537	132536
26	3722	134164
27	3903	135503
28	4075	136469
29	4239	137091
30	4334	135490
31	4435	134172
32	4539	133019
33	4682	133048
34	4824	133027
35	4976	133251
36	5134	133641
37	5247	132850
38	5386	132720
39	5536	132879
40	5696	133250
41	5789	132044
42	5918	131715
43	6012	130639
44	6134	130178
45	6339	131465
46	6492	131640
47	6660	132106
48	6872	133388
49	6982	132667
50	7121	132519
51	7239	131976
52	7342	131188
53	7434	130240
54	7578	130215
55	7689	129619
56	7827	129489
57	8016	130199
58	8181	130484
59	8374	131208
60	8530	131309
61	8660	131019
62	8807	130990
63	8911	130330
64	9093	130806
65	9312	131792
66	9478	131998
67	9671	132551
68	9842	132806
69	10016	133074
70	10295	134714
71	10451	134707
72	10558	134073
73	10664	133447
74	10797	133172
75	10961	133265
76	11067	132671
77	11226	132707
78	11441	133388
79	11587	133251
80	11734	133140
81	11875	132947
82	12027	132886
83	12175	132770
84	12334	132775
85	12504	132893
86	12650	132753
87	12854	133220
88	12979	132857
89	13120	132664
90	13295	132807
91	13451	132758
92	13614	132780
93	13784	132863
94	13947	132868
95	14088	132664
96	14237	132539
97	14383	132385
98	14534	132278
99	14661	131950
100	14838	132076
101	14984	131923
102	15142	131873
103	15333	132100
104	15508	132190
105	15660	132079
106	15814	131981
107	15955	131782
108	16111	131704
109	16259	131553
110	16385	131233
111	16529	131054
112	16683	130959
113	16848	130943
114	17005	130865
115	17186	130974
116	17360	131023
117	17519	130949
118	17684	130921
119	17835	130797
120	17973	130564
121	18124	130436
122	18281	130345
123	18421	130140
124	18610	130274
125	18785	130303
126	18930	130125
127	19013	129527
128	19144	129261
129	19302	129179
130	19439	128955
131	19582	128768
132	19751	128752
133	19900	128610
134	20057	128516
135	20187	128247
136	20351	128202
137	20459	127797
138	20647	127895
139	20902	128399
140	21050	128244
141	21190	128039
142	21331	127839
143	21468	127618
144	21674	127804
145	21855	127839
146	22006	127695
147	22185	127716
148	22331	127541
149	22471	127337
150	22599	127067
151	22737	126851
152	22818	126320
153	22979	126236
154	23126	126076
155	23269	125894
156	23419	125746
157	23547	125486
158	23723	125482
159	23876	125349
160	24001	125078
161	24164	124997
162	24300	124783
163	24462	124697
164	24620	124593
165	24801	124603
166	24911	124260
167	25090	124256
168	25239	124107
169	25427	124148
170	25578	124003
171	25726	123844
172	25918	123899
173	26096	123883
174	26287	123926
175	26466	123909
176	26613	123747
177	26766	123609
178	26957	123644
179	27075	123344
180	27246	123288
181	27414	123213
182	27593	123189
183	27700	122844
184	27865	122759
185	28028	122661
186	28217	122677
187	28383	122590
188	28541	122471
189	28689	122307
190	28811	122032
191	28970	121916
192	29171	121975
193	29302	121741
194	29416	121438
195	29503	121024
196	29653	120872
197	29785	120646
198	29950	120553
199	30126	120505
200	30243	120223
201	30340	119858
202	30523	119837
203	30703	119803
204	30855	119657
205	31038	119634
206	31170	119410
207	31359	119405
208	31504	119235
209	31664	119119
210	31830	119024
211	32000	118945
212	32098	118599
213	32289	118594
214	32460	118517
215	32619	118396
216	32789	118312
217	32994	118354
218	33187	118353
219	33342	118213
220	33494	118064
221	33645	117909
222	33799	117768
223	33916	117495
224	34064	117331
225	34207	117153
226	34314	116852
227	34524	116898
228	34715	116879
229	34909	116872
230	35041	116652
231	35217	116581
232	35371	116438
233	35518	116268
234	35691	116185
235	35876	116141
236	36029	115994
237	36171	115810
238	36323	115656
239	36472	115496
240	36599	115264
241	36736	115066
242	36898	114947
243	37080	114888
244	37255	114807
245	37439	114753
246	37581	114571
247	37732	114414
248	37856	114177
249	37985	113957
250	38110	113723
251	38287	113647
252	38422	113443
253	38502	113083
254	38678	113001
255	38835	112864
256	39028	112832
257	39121	112511
258	39250	112296
259	39405	112154
260	39570	112040
261	39743	111949
262	39881	111758
263	40040	111628
264	40185	111458
265	40306	111220
266	40442	111026
267	40596	110884
268	40728	110678
269	40882	110533
270	41041	110402
271	41201	110275
272	41360	110142
273	41493	109941
274	41636	109768
275	41819	109701
276	41976	109563
277	42140	109444
278	42296	109304
279	42452	109164
280	42606	109019
281	42799	108971
282	42964	108852
283	43120	108711
284	43261	108533
285	43436	108438
286	43611	108344
287	43781	108238
288	43968	108170
289	44161	108118
290	44316	107972
291	44441	107755
292	44585	107583
293	44760	107486
294	44856	107199
295	45048	107142
296	45214	107021
297	45374	106889
298	45493	106658
299	45663	106548
300	45772	106295
301	45953	106210
302	46086	106014
303	46221	105823
304	46353	105624
305	46518	105503
306	46612	105220
307	46759	105055
308	46931	104949
309	47069	104768
310	47221	104615
311	47329	104366
312	47470	104191
313	47612	104019
314	47786	103916
315	47914	103713
316	48079	103589
317	48200	103372
318	48347	103212
319	48522	103110
320	48687	102987
321	48849	102857
322	48954	102607
323	49111	102466
324	49273	102337
325	49429	102193
326	49583	102048
327	49756	101939
328	49894	101760
329	50059	101636
330	50143	101348
331	50292	101189
332	50441	101033
333	50612	100921
334	50697	100637
335	50810	100411
336	50940	100218
337	51038	99963
338	51148	99732
339	51287	99558
340	51481	99491
341	51673	99419
342	51797	99214
343	51951	99069
344	52136	98983
345	52285	98828
346	52432	98670
347	52611	98571
348	52782	98456
349	52902	98247
350	53071	98130
351	53162	97867
352	53255	97610
353	53423	97490
354	53519	97238
355	53638	97031
356	53803	96906
357	53956	96760
358	54110	96614
359	54281	96499
360	54447	96376
361	54591	96213
362	54739	96057
363	54903	95929
364	55043	95760
365	55200	95620
366	55348	95464
367	55517	95345
368	55665	95189
369	55824	95053
370	55959	94874
371	56127	94753
372	56305	94648
373	56471	94521
374	56615	94359
375	56761	94200
376	56919	94061
377	57078	93922
378	57163	93663
379	57271	93443
380	57440	93322
381	57592	93173
382	57723	92991
383	57810	92737
384	57977	92613
385	58143	92487
386	58285	92323
387	58438	92175
388	58546	91958
389	58631	91705
390	58774	91544
391	58902	91358
392	59057	91215
393	59199	91052
394	59361	90921
395	59452	90679
396	59614	90548
397	59725	90339
398	59857	90160
399	60018	90027
400	60108	89788
401	60247	89621
402	60401	89478
403	60550	89326
404	60729	89219
405	60853	89031
406	60961	88820
407	61051	88585
408	61216	88457
409	61392	88344
410	61553	88211
411	61701	88059
412	61855	87915
413	61936	87668
414	62093	87530
415	62177	87287
416	62320	87129
417	62442	86941
418	62607	86814
419	62753	86660
420	62900	86507
421	63052	86360
422	63211	86224
423	63349	86059
424	63502	85915
425	63655	85770
426	63740	85534
427	63888	85383
428	64034	85229
429	64206	85110
430	64368	84978
431	64519	84831
432	64673	84688
433	64757	84453
434	64912	84311
435	65085	84192
436	65233	84042
437	65393	83906
438	65531	83742
439	65614	83509
440	65762	83359
441	65927	83229
442	66104	83115
443	66207	82909
444	66364	82769
445	66541	82654
446	66685	82499
447	66783	82286
448	66933	82138
449	67095	82005
450	67229	81838
451	67421	81741
452	67583	81607
453	67689	81406
454	67859	81282
455	68065	81200
456	68156	80982
457	68246	80763
458	68418	80641
459	68508	80422
460	68596	80203
461	68790	80106
462	68885	79895
463	68971	79673
464	69134	79541
465	69255	79361
466	69430	79243
467	69517	79024
468	69605	78807
469	69766	78672
470	69862	78465
471	69985	78288
472	70138	78146
473	70317	78031
474	70471	77889
475	70632	77755
476	70778	77603
477	70942	77473
478	71108	77343
479	71250	77188
480	71421	77063
481	71557	76902
482	71714	76762
483	71810	76557
484	71980	76432
485	72173	76331
486	72348	76210
487	72522	76089
488	72641	75910
489	72793	75764
490	72931	75605
491	73033	75408
492	73201	75280
493	73353	75135
494	73500	74985
495	73652	74840
496	73829	74720
497	74001	74596
498	74165	74463
499	74306	74306
500	74443	74146
501	74533	73939
502	74674	73784
503	74807	73620
504	74983	73498
505	75113	73332
506	75241	73163
507	75420	73045
508	75572	72900
509	75723	72753
510	75877	72610
511	76029	72465
512	76184	72323
513	76331	72173
514	76458	72004
515	76592	71842
516	76712	71667
517	76868	71526
518	76966	71331
519	77138	71205
520	77222	70997
521	77372	70850
522	77494	70678
523	77644	70532
524	77780	70373
525	77902	70200
526	78064	70065
527	78225	69928
528	78386	69792
529	78529	69639
530	78676	69489
531	78840	69355
532	78938	69164
533	79094	69022
534	79237	68869
535	79403	68737
536	79510	68553
537	79612	68366
538	79779	68234
539	79934	68092
540	80133	67987
541	80295	67850
542	80467	67722
543	80644	67598
544	80815	67469
545	80973	67329
546	81125	67184
547	81214	66987
548	81395	66866
549	81569	66738
550	81828	66680
551	82012	66561
552	82128	66386
553	82279	66239
554	82466	66122
555	82612	65971
556	82725	65794
557	82901	65667
558	83041	65512
559	83178	65354
560	83343	65218
561	83506	65081
562	83640	64921
563	83816	64794
564	84041	64704
565	84223	64581
566	84393	64448
567	84487	64258
568	84664	64130
569	84837	64000
570	85022	63878
571	85212	63760
572	85313	63575
573	85458	63423
574	85624	63287
575	85785	63147
576	85955	63014
577	86131	62884
578	86290	62742
579	86379	62550
580	86558	62423
581	86742	62299
582	86843	62115
583	87020	61986
584	87212	61868
585	87381	61733
586	87547	61596
587	87738	61476
588	87920	61350
589	88100	61222
590	88240	61066
591	88368	60902
592	88534	60764
593	88693	60622
594	88845	60474
595	89028	60348
596	89178	60199
597	89339	60057
598	89484	59905
599	89642	59761
600	89803	59619
601	89993	59497
602	90121	59333
603	90250	59170
604	90408	59027
605	90534	58862
606	90755	58759
607	90922	58621
608	91090	58483
609	91266	58350
610	91415	58200
611	91577	58058
612	91712	57899
613	91854	57745
614	92006	57597
615	92161	57451
616	92293	57291
617	92416	57124
618	92514	56943
619	92662	56793
620	92809	56641
621	92978	56504
